user_id,event_dt,revenue
495453983262,2019-08-08 12:51:22,2.5
344715136375,2019-08-08 22:05:57,5.5
625251125771,2019-08-08 15:24:58,5.5
556027424293,2019-08-08 12:04:46,50.0
937033752203,2019-08-08 09:06:12,50.0
518137650574,2019-08-08 20:37:08,2.5
776316764878,2019-08-08 01:45:41,2.5
936979961702,2019-08-08 06:18:34,2.5
116909101182,2019-08-08 21:11:13,2.5
754548450726,2019-08-08 00:15:11,5.5
874354614937,2019-08-08 15:29:11,2.5
570071519708,2019-08-08 01:06:41,10.0
121833945062,2019-08-08 13:50:05,5.5
131009422184,2019-08-08 05:53:36,2.5
612451817532,2019-08-08 15:40:04,2.5
619626467757,2019-08-08 08:52:37,50.0
705115544345,2019-08-08 10:41:45,50.0
452165295231,2019-08-08 01:15:38,10.0
203557614740,2019-08-08 05:02:29,25.5
344715136375,2019-08-09 23:06:24,2.5
556027424293,2019-08-09 18:46:47,2.5
874354614937,2019-08-09 16:28:24,2.5
791729916198,2019-08-09 12:44:30,2.5
027201112251,2019-08-09 09:57:31,2.5
560070413719,2019-08-09 05:17:28,5.5
815864992386,2019-08-09 08:13:28,2.5
051291003310,2019-08-09 07:35:22,2.5
310674864071,2019-08-09 04:04:46,2.5
959343464267,2019-08-09 06:15:26,2.5
632271356604,2019-08-09 22:12:21,2.5
656176620560,2019-08-09 00:09:32,50.0
717690540315,2019-08-09 18:52:03,10.0
946843253082,2019-08-09 04:35:17,5.5
666122289535,2019-08-09 11:08:17,2.5
408611810381,2019-08-09 21:45:33,5.5
816590891819,2019-08-09 04:30:22,5.5
769318161523,2019-08-09 08:38:59,2.5
228296797779,2019-08-09 00:46:55,2.5
046502690846,2019-08-09 02:24:33,10.0
155188123258,2019-08-09 19:35:13,2.5
535296972675,2019-08-09 01:57:22,10.0
246188594142,2019-08-09 16:43:39,2.5
395465893059,2019-08-09 20:01:56,2.5
271917943885,2019-08-09 08:16:33,50.0
631378849317,2019-08-09 13:36:35,2.5
422789265533,2019-08-09 05:45:14,2.5
407519324497,2019-08-09 03:43:09,50.0
449392384262,2019-08-09 12:35:39,2.5
360881244021,2019-08-09 21:25:48,5.5
258128195681,2019-08-09 17:19:13,2.5
621826324408,2019-08-09 12:41:38,5.5
279269830596,2019-08-09 23:22:10,5.5
150749336248,2019-08-09 04:15:27,2.5
589433291722,2019-08-09 07:43:28,2.5
409460073695,2019-08-09 16:09:23,2.5
165331136241,2019-08-09 15:15:22,50.0
179082474851,2019-08-10 05:19:42,2.5
959343464267,2019-08-10 06:26:26,2.5
666122289535,2019-08-10 22:15:45,2.5
454108445259,2019-08-10 10:47:08,2.5
629712775777,2019-08-10 14:33:30,10.0
388832141776,2019-08-10 11:48:47,2.5
150749336248,2019-08-10 07:12:56,2.5
584148444224,2019-08-10 14:45:47,10.0
144542231407,2019-08-10 16:30:39,5.5
465095036485,2019-08-10 01:59:15,10.0
763506644483,2019-08-10 12:03:31,2.5
203434621056,2019-08-10 15:35:14,2.5
663765949045,2019-08-10 08:36:48,50.0
831963849988,2019-08-10 20:39:08,2.5
373331338242,2019-08-10 22:43:27,2.5
871714784662,2019-08-10 10:48:28,2.5
102204499218,2019-08-10 10:34:52,2.5
038784053114,2019-08-10 04:27:06,2.5
641519786879,2019-08-10 11:05:41,5.5
268854898709,2019-08-10 10:55:13,2.5
760292078676,2019-08-10 02:02:37,50.0
360736810172,2019-08-10 08:04:04,100.0
606820916801,2019-08-10 13:22:06,2.5
920139023775,2019-08-10 06:57:05,2.5
241403748148,2019-08-10 08:14:40,2.5
364789292885,2019-08-10 13:30:54,2.5
312832454823,2019-08-10 21:48:25,5.5
847746504558,2019-08-10 12:28:25,5.5
432843126434,2019-08-10 05:48:08,2.5
901711145673,2019-08-10 20:04:56,5.5
642286255598,2019-08-10 15:18:18,10.0
871776900333,2019-08-10 20:00:07,5.5
143513681877,2019-08-10 02:47:13,2.5
426916306117,2019-08-10 10:55:56,2.5
505683596730,2019-08-10 07:40:24,50.0
395850778243,2019-08-10 15:38:18,2.5
003600086435,2019-08-10 16:24:01,5.5
563458845363,2019-08-10 23:29:16,5.5
487411399835,2019-08-10 02:15:42,2.5
612713921071,2019-08-10 03:22:06,2.5
386152065503,2019-08-11 15:03:09,2.5
408611810381,2019-08-11 18:22:47,50.0
932865514843,2019-08-11 16:40:19,5.5
728135054934,2019-08-11 02:38:52,2.5
690996379666,2019-08-11 20:28:30,2.5
871714784662,2019-08-11 16:09:47,2.5
872027626512,2019-08-11 20:51:45,2.5
995681083794,2019-08-11 02:29:31,5.5
364789292885,2019-08-11 14:28:50,2.5
607222919577,2019-08-11 13:50:34,5.5
420337982902,2019-08-11 13:44:03,2.5
312715072390,2019-08-11 01:49:43,10.0
977278018358,2019-08-11 03:39:01,25.5
403935307140,2019-08-11 23:46:06,2.5
141904648814,2019-08-11 03:37:04,2.5
331721339230,2019-08-11 16:28:55,2.5
592833217519,2019-08-11 02:45:21,5.5
024137753618,2019-08-11 05:13:37,5.5
584876512481,2019-08-11 11:19:14,10.0
853395659025,2019-08-11 20:29:05,2.5
776535210497,2019-08-11 17:17:16,10.0
087249246132,2019-08-11 02:23:53,2.5
939806706565,2019-08-11 04:36:48,2.5
388914406252,2019-08-11 18:32:24,2.5
823062421181,2019-08-11 07:26:06,5.5
211876344775,2019-08-11 10:07:04,2.5
111392179875,2019-08-11 02:05:14,25.5
199406828473,2019-08-11 08:17:01,2.5
436742574811,2019-08-11 14:19:42,5.5
897087694594,2019-08-11 21:22:44,50.0
008411670900,2019-08-11 20:12:32,50.0
737369682418,2019-08-11 14:11:43,2.5
112171859333,2019-08-11 06:17:04,2.5
209768325048,2019-08-11 08:10:27,5.5
408451159416,2019-08-11 04:44:22,2.5
