sessionId,client_id,session_start_ts,session_end_ts
1570393419,1478589558.1479762454,2019-10-07 00:00:02.245341,2019-10-07 00:41:40.115094
1570394039,911310108.1540757842,2019-10-07 00:02:03.656428,2019-10-07 00:30:22.373280
1570394987,507331269.1570394983,2019-10-07 00:00:00.431357,2019-10-07 00:18:42.917148
1570395905,1778766226.1570395877,2019-10-07 00:05:05.550945,2019-10-07 00:06:47.446471
1570396060,1469923092.1570396066,2019-10-07 00:07:40.529523,2019-10-07 00:50:22.211720
1570400212,1545932700.1570400212,2019-10-07 01:16:52.999658,2019-10-07 01:58:52.044000
1570406536,1811054595.1570406531,2019-10-07 03:02:16.299985,2019-10-07 03:34:33.905671
1570407312,1545932700.1570400212,2019-10-07 03:15:12.333831,2019-10-07 03:36:36.485840
1570407521,968719600.1570176521,2019-10-07 03:18:41.073699,2019-10-07 03:19:39.048988
1570408723,1545932700.1570400212,2019-10-07 03:38:43.053601,2019-10-07 03:48:16.485884
1570412970,1584430857.1570412969,2019-10-07 04:49:30.011207,2019-10-07 05:28:22.307433
1570422637,257070736.1570422607,2019-10-07 07:30:37.704880,2019-10-07 07:30:47.167564
1570424555,1937787674.1570424544,2019-10-07 08:02:35.810931,2019-10-07 08:02:35.810931
1570424575,1937787674.1570424544,2019-10-07 08:02:55.230327,2019-10-07 08:02:55.230327
1570424577,1937787674.1570424544,2019-10-07 08:02:57.953535,2019-10-07 08:02:57.953535
1570424601,1937787674.1570424544,2019-10-07 08:03:21.572924,2019-10-07 08:03:21.572924
1570424725,1937787674.1570424544,2019-10-07 08:05:25.062854,2019-10-07 08:05:25.062854
1570424766,1937787674.1570424544,2019-10-07 08:06:06.166897,2019-10-07 08:08:27.147378
1570424909,1937787674.1570424544,2019-10-07 08:08:29.271000,2019-10-07 08:08:29.271000
1570424934,1937787674.1570424544,2019-10-07 08:08:54.072532,2019-10-07 08:09:13.423399
1570425001,1937787674.1570424544,2019-10-07 08:10:01.339216,2019-10-07 08:10:25.295570
1570425025,1937787674.1570424544,2019-10-07 08:10:25.295779,2019-10-07 08:10:59.015003
1570425067,1937787674.1570424544,2019-10-07 08:11:07.995945,2019-10-07 08:11:07.995945
1570425407,273092795.1570425405,2019-10-07 08:16:47.139737,2019-10-07 08:17:06.535283
1570425565,307003124.1570425565,2019-10-07 08:19:25.918384,2019-10-07 08:20:23.823004
1570425573,273092795.1570425405,2019-10-07 08:19:33.234980,2019-10-07 08:25:04.570714
1570426758,1444787547.1570426758,2019-10-07 08:39:18.393180,2019-10-07 08:40:52.779937
1570427928,1505157972.1570427927,2019-10-07 08:58:48.341860,2019-10-07 09:02:07.308907
1570428016,1149329918.1570428013,2019-10-07 09:00:16.371218,2019-10-07 09:08:09.511421
1570428055,212179474.1570428053,2019-10-07 09:00:55.263673,2019-10-07 09:03:25.810833
1570428549,1335794259.1570416626,2019-10-07 09:09:09.332681,2019-10-07 09:09:25.822706
1570428598,612335386.1570428596,2019-10-07 09:09:58.026198,2019-10-07 09:45:15.244667
